0,0
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,0
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,1
